SUBNO,SEX,AGEGRP,RACEGRP,WEIGHTKG,STATURE,HEADCIRC,BITCOR,BITFRONT,BITSUBN,BITCHIN,NECKCIRC,HEADBR,HEADLTH,MINFRBR,MAXFRBR,BIZYGOBR,BIGONLBR,NROOTBR,NOSEBR,LIPLTH,SUBNASAL,MENSELL,NOSEPRO,INTPUPBR,
314,1,3,1,91.9,"1,850",563,354,308,310,348,"-9,999",155,191,112,120,145,123,16,37,52,61,135,19,66.5,
315,1,2,1,88.0,"1,855",563,345,303,305,335,"-9,999",153,196,112,119,142,133,15,37,53,55,127,22,59.5,
316,1,1,1,74.6,"1,753",562,380,300,293,325,"-9,999",153,197,101,107,131,118,18,31,49,57,135,21,59.0,
317,2,2,1,93.0,"1,683",548,340,286,275,295,"-9,999",145,187,100,105,140,123,13,34,45,50,108,16,61.0,
318,2,2,1,87.1,"1,653",545,345,298,285,315,"-9,999",152,181,108,112,142,126,15,33,45,46,114,20,61.5,
319,2,3,1,82.3,"1,723",548,333,291,280,305,"-9,999",142,187,106,112,137,114,14,33,45,51,116,20,62.0,
320,1,2,1,91.9,"1,824",598,350,302,295,335,"-9,999",148,215,105,110,136,122,17,37,55,49,130,20,60.0,
321,1,2,1,85.5,"1,787",585,353,300,303,338,"-9,999",152,210,102,107,134,130,15,39,55,48,121,19,59.5,
322,1,3,1,76.9,"1,735",567,365,310,305,335,"-9,999",154,191,110,114,142,126,14,36,54,52,123,22,63.5,
323,1,3,1,77.3,"1,677",577,350,300,289,325,"-9,999",153,200,114,117,141,132,16,37,55,50,115,20,65.5,
324,1,3,1,103.2,"1,820",583,373,330,320,352,"-9,999",164,200,120,124,161,144,17,39,54,53,126,20,70.0,
325,1,3,1,69.6,"1,595",565,340,300,285,330,"-9,999",151,200,105,108,135,114,16,35,51,51,122,18,59.5,
326,1,3,1,74.4,"1,690",575,360,312,290,315,"-9,999",164,192,117,120,152,123,20,39,51,54,125,21,71.5,
